127.0.0.1 - - [11/Jun/2019:20:19:05 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jun/2019:20:19:06 -0400] "GET /Homework2/index.html HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [11/Jun/2019:20:19:44 -0400] "GET /Homework2/index.html HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:01:38 -0400] "GET /Homework2/index.html HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:06:59 -0400] "GET /Homework2/index.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:07:37 -0400] "GET /Homework2/index.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:11:24 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:14:28 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:16:17 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [11/Jun/2019:21:57:12 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:30:48 -0400] "GET /Homework2/test.html HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:30:48 -0400] "GET /Homework2/JHU.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:30:48 -0400] "GET /Homework2/jhu%20banner.PNG HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:31:34 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:31:46 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf&action=register HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:32:01 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.com&action=register HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:32:45 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:33:03 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40adf&course=A5&employmentstatus=employee&action=register HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:33:36 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:34:00 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf&course=A2&employmentstatus=student&action=register HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:38:33 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:38:33 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:39:18 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:39:18 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 200 18005
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:39:41 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:39:41 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:40:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:40:02 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:40:15 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:41:04 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:41:04 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:42:35 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:42:35 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:43:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:43:26 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:43:26 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:43:55 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:44:39 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:44:39 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:45:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:46:42 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:46:43 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:47:09 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:47:26 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:50:29 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:50:29 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:50:29 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:27 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:28 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:47 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:47 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:06 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:07 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
